"ID","时间戳","事件类型","参数1","参数2","参数3","参数4","远方就地场景","分簇控制模式","最小并簇数","使能簇标志1","使能簇标志2","退并簇标志1","退并簇标志2","安装簇数","在线簇数","堆运行状态","堆总故障","堆允充允放状态","严重故障","一般故障","轻微故障","簇汇总硬件故障","堆硬件故障","堆电压","堆电流","堆SOC","堆SOH","堆SOE","堆充电SOP","堆放电SOP","绝缘电阻+","绝缘电阻-","堆最大允许充电功率","堆最大放电允许功率","簇电压最大值","簇电压最大值簇号","簇电压最小值","簇电压最小值簇号","簇电流最大值","簇电流最大值簇号","簇电流最小值","簇电流最小值簇号","簇SOC最大值","簇SOC最大值簇号","簇SOC最小值","簇SOC最小值簇号","包电压最大值","包电压最大值簇号","包电压最大值包号","包电压最小值","包电压最小值簇号","包电压最小值包号","包温度最大值","包温度最大值簇号","包温度最大值包号","包温度最小值","包温度最小值簇号","包温度最小值包号","动力接插件温度最大值","动力接插件温度最大值簇号","动力接插件温度最大值包号","动力接插件温度最小值","动力接插件温度最小值簇号","动力接插件温度最小值包号","单体电压最大值","单体电压最大值簇号","单体电压最大值节号","单体电压最小值","单体电压最小值簇号","单体电压最小值节号","单体温度最大值","单体温度最大值簇号","单体温度最大值节号","单体温度最小值","单体温度最小值簇号","单体温度最小值节号","单体SOC最大值","单体SOC最大值簇号","单体SOC最大值节号","单体SOC最小值","单体SOC最小值簇号","单体SOC最小值节号","OCV最大值","OCV最大值簇号","OCV最小值","OCV最小值簇号","事件记录版本号","BOOT版本号","软件版本号","SOX算法版本号","退并簇算法版本号","系统DI输入状态","系统DO输出状态","EMS通讯状态","PCS通讯状态","水冷机通讯状态","I/O模块通讯状态","除湿机通讯状态","SD卡状态","网卡2 IP地址"
1,"2099-12-25-13:00:10","未知事件(50)","18","213","1","1","23477(未定义)","统一控制","1","0000000000","0000000001","1111111111","1111111111","0","0","7(未定义)","无故障","禁充禁放","单体压差上限告警,单体温差上限告警","单体温差上限告警,簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,电池包电压下限告警,单体电压下限告警,充电单体温度上限告警,充电单体温度下限告警,放电单体温度上限告警,放电单体温度下限告警","充电单体温度下限告警,放电单体温度上限告警,放电单体温度下限告警","主负氧化,消防释放信号,温感反馈故障","制冷设备通讯故障","0.0V","0.0A","0.0%","0.0%","30.0%","100.0%","30.0%","0kΩ","0kΩ","1kW","1kW","0.0V","0","2867.2V","31","2790.6A","31","0.4A","0","0.1%","0","1126.5%","1","1126.5V","1","1","93.7V","5","4","93.2℃","1","5","31.9℃","2","3","27.0℃","3","5","39.0℃","1","1","0.387V","2","54532","1.292V","14","33536","51.8℃","193","35328","25.8℃","6","30720","76.6%","19","11264","25.7%","1","11264","257V","1","0V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-2511","0x0D03","--","1","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
2,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
3,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
4,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
5,"/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","无故障","无故障","无故障","无故障","无故障","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
6,"/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","无故障","无故障","无故障","无故障","无故障","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
7,"/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","无故障","无故障","无故障","无故障","无故障","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
8,"/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","无故障","无故障","无故障","无故障","无故障","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
9,"/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","无故障","无故障","无故障","无故障","无故障","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
10,"/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","无故障","无故障","无故障","无故障","无故障","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/"
